Throttle angle, ?t (degrees);Engine Speed, N (rad/s);Manifold Absolute Pressure, pm (kpa)
0;163;90,9
4;119;91
24;145;88,3
27;258;91,7
27;276;87,2
27;295;87,2
26;295;87,5
26;295;89,1
27;289;91,3
27;283;89,3
26;320;88,8
27;327;87,5
26;320;87,7
26;295;87,1
26;289;89,5
26;270;91
26;276;86,9
26;289;87,7
26;289;90,7
26;302;90,8
26;302;90,6
26;295;90,9
26;283;89,6
26;276;87,1
26;276;86,8
26;283;89,5
26;270;90,1
26;283;86,7
23;283;89,8
12;264;82,1
7;270;83,1
4;258;79,3
0;220;85,5
0;195;87,3
0;195;91,9
0;207;93,1
0;220;90,6
0;239;91,2
0;232;91,8
0;232;91,8
0;239;91,8
0;226;91,5
0;220;91,7
0;239;92,1
0;258;92,8
0;283;91,8
0;283;93,4
0;308;92,4
0;320;91
0;308;91,2
0;302;94,5
0;283;94,6
0;276;92,8
0;289;91,3
0;289;93
0;258;92,2
0;226;91,9
0;251;92,1
0;251;92,3
0;239;92,2
0;226;91,5
0;220;91,6
0;226;91,6
0;226;91,5
0;220;91,4
0;220;92,4
0;207;91,5
0;214;91,5
0;226;91,6
0;232;91,5
0;220;91,6
0;226;91,5
0;214;92,1
0;214;91,5
0;220;92,6
0;220;91,4
0;220;92,8
0;214;91,5
0;232;91,4
0;232;91,1
0;226;91,2
0;214;91
0;201;89,1
0;151;91
0;157;92,1
1;113;90,7
5;107;90,2
8;151;91,1
9;201;83,9
9;232;83,1
10;232;84,9
10;245;85
10;264;82,7
11;258;79
11;264;84,8
11;270;80,1
12;264;83,6
12;270;83,2
16;270;82,1
16;295;81,4
16;320;81,8
16;346;82,6
16;377;81,7
17;383;82,4
17;390;80,9
17;396;80,9
17;396;82,1
18;390;81,4
18;390;80,2
19;377;79,5
21;390;84,5
24;377;86,2
25;390;85,5
25;408;86,4
26;421;84,1
26;434;84,6
26;440;84,1
27;446;84,2
27;446;84,3
28;452;84,3
28;440;85,2
29;459;86,1
30;446;86,6
30;459;84,5
32;471;88
34;490;89,2
33;522;87,9
32;534;86
31;547;85,4
30;565;83,4
31;578;85
31;584;84,5
30;597;84
29;603;83,5
29;597;81,4
30;559;85,2
30;609;84,3
30;578;84,5
30;584;83,1
30;584;82,3
30;591;82,2
28;584;81,9
30;584;82,4
30;578;83,5
30;578;84,7
29;572;83,1
28;578;81,9
28;565;83,2
27;572;80,6
27;572;82,5
26;565;80,1
25;572;79,5
24;553;80,5
19;509;80,2
18;490;77,2
18;459;77,8
18;434;79,8
18;415;79,6
16;402;81
15;383;81
14;377;80,2
12;364;76,4
10;364;79,1
7;364;76,1
7;371;77,6
6;377;74,6
5;396;75,5
5;402;75,3
5;408;75
0;371;76,7
0;371;85,2
0;339;86,7
0;320;86,4
0;302;89,3
0;283;90
0;270;91
0;264;89,5
0;264;90,4
0;251;91,6
0;239;91,6
0;214;91,6
0;226;90,9
0;239;91,4
0;226;91,5
0;232;91,7
0;232;91,6
0;239;91,5
0;232;91,6
0;226;91,3
0;232;91,5
0;239;91,5
0;226;91,5
0;232;90,1
0;226;91,6
0;239;91,5
0;239;91,1
0;232;90
0;220;91,4
0;226;91,4
0;232;91,1
0;226;91,4
0;220;91,5
0;232;91,4
0;245;90
0;232;91,4
0;226;91,3
0;232;91,5
0;226;91
0;232;91,3
0;232;91,3
0;239;91,1
0;239;91,4
0;220;91,2
0;232;91,2
0;226;91,3
0;226;91
0;220;91
0;151;92,2
5;132;91
11;188;86
13;232;86
13;245;85,4
13;264;85,9
12;270;80,2
13;264;84,4
12;276;80,7
13;264;84,3
12;276;80,5
13;264;85
12;276;79,9
13;264;85,6
13;276;80,4
13;264;85,3
13;270;80,8
13;258;84,8
13;270;84,8
14;270;80,8
14;289;82,3
14;302;83,5
15;308;81,9
16;320;81,9
17;333;82,4
17;346;82,4
17;358;83,1
18;371;79,1
18;383;83,9
19;383;82,5
20;383;80,6
21;390;80,9
23;383;82,2
24;390;83
25;396;83,6
27;408;85,9
27;415;85,7
28;434;86,1
29;434;86,4
29;440;86,5
30;446;87
29;459;86,6
30;465;85,4
30;465;87,1
30;471;85
29;484;84,3
30;490;85,3
30;478;87,2
30;459;86,2
30;434;87,1
30;440;87,1
30;440;87
30;440;86,9
30;440;87,1
30;434;86,9
29;434;86,8
29;434;86,6
29;440;86,7
28;427;86,2
28;421;85,9
27;408;85,2
26;421;85,2
26;408;84,3
25;415;85,9
24;415;83,7
21;415;83,3
21;408;81
20;396;81,5
18;408;82,5
16;396;80,2
15;377;82
13;383;80,4
10;377;77
7;390;75,8
5;383;78
3;346;79,9
1;358;82
0;339;81,3
0;327;82,1
0;314;86,3
0;295;86,4
0;295;87,8
0;276;89,7
0;295;91,7
0;270;90,1
0;276;88,1
0;264;91,7
0;283;88,5
0;289;93
0;295;93,2
0;283;91,6
0;289;90,8
0;289;91,8
0;295;92,5
0;302;91,9
0;295;91,2
0;283;91,1
0;289;89,3
0;276;87,5
0;276;91,6
0;270;88,6
0;258;91,3
0;258;88
0;264;91
0;251;91,8
0;258;91
0;251;88,1
0;258;91,8
0;258;92,1
0;264;91,8
0;276;93,1
0;302;92,7
0;308;90,4
0;308;89,1
0;302;91
0;295;92,2
0;295;91,8
0;283;91,3
0;276;87,3
0;283;88,4
0;270;91,6
0;276;87,3
0;264;91,6
0;264;89,1
0;251;90,5
0;264;91,8
0;251;91,7
0;245;91,8
0;264;90,2
0;251;89,1
0;239;89,1
0;245;88,7
0;258;89,9
3;145;85,8
11;157;87,8
24;220;89,6
30;283;92,1
31;302;93
31;308;91,3
32;308;90,1
32;302;90,1
32;302;90,2
32;308;91,7
32;308;92,8
32;302;91,3
32;302;91,1
32;308;90,9
34;320;90,8
34;346;91,3
34;377;91,5
35;390;91,5
35;421;91,7
35;427;89,7
35;452;89,9
35;471;89,9
35;484;90
35;496;89,4
35;522;89,1
36;528;88,2
36;547;88,5
36;565;87,5
37;578;89,3
37;591;89,3
38;609;89,5
38;622;87,3
37;635;87,7
37;647;87,6
38;660;87,5
37;672;86,4
38;672;87,5
38;679;87,8
38;672;87,6
38;666;86,7
38;647;87,5
38;647;87,5
38;653;87,7
38;660;87,5
38;660;87,7
38;660;86,9
38;653;87,7
38;653;87,7
38;653;87,6
38;647;87,7
38;647;87,8
38;653;87,5
38;653;87,5
38;653;87,6
38;660;87,7
36;653;86,8
29;641;82,8
27;622;80,6
25;597;80
24;540;80
23;540;80,5
23;534;80
22;515;78,3
22;503;80,3
22;503;78,4
21;503;77,6
21;503;80,2
21;509;80,2
17;484;76,1
12;484;75,8
11;459;73,4
9;446;75
6;434;74,7
5;427;75,2
3;396;77,2
0;402;82,1
0;383;83,4
0;364;82,1
0;352;83,7
0;333;83,4
0;320;83,4
0;308;83,3
0;289;85,7
0;276;83,7
0;264;89,2
0;251;87,1
0;232;88,6
0;226;89,4
0;220;90,4
0;201;89,1
0;201;89,2
0;201;89,2
0;207;89,3
0;201;89,3
0;207;89,2
0;201;89,2
0;207;89,3
0;214;89,4
0;207;89,3
0;201;89,3
0;201;89,3
0;201;89,2
0;201;90,1
0;195;90,9
0;195;94,6
0;207;93,8
0;201;94,6
0;201;93,9
0;201;92,9
0;195;93,5
0;195;94,3
0;176;92,2
0;188;90,9
0;201;92,8
0;182;92,7
0;182;92,4
0;182;89,2
0;182;89,1
0;195;91,2
0;195;89,8
0;201;89,6
0;201;89,5
0;188;89,3
0;195;89,3
0;201;89,4
0;188;90,9
0;182;94,7
0;195;89,9
0;207;89,4
0;195;89,2
0;201;89,2
0;207;89,3
0;207;89,4
5;157;87,8
25;226;90,5
27;270;87,9
27;295;87,4
27;302;87,6
27;302;87,6
28;302;87,6
28;289;87,6
28;289;87,7
28;289;87,7
28;289;87,8
28;289;88
29;289;88,4
30;295;89,1
31;295;90,6
32;308;92,7
32;308;91,7
32;308;90,6
33;295;90,7
33;289;90,8
34;289;91
34;302;91
34;320;92
34;327;91,4
34;339;91,7
35;358;92
36;371;91,9
36;383;92,3
36;390;90,6
37;408;91,7
36;427;90,5
36;434;91
37;446;90,3
36;459;89,2
37;465;91
37;478;88,8
38;490;89,8
38;503;89,7
39;509;89,8
39;522;91,5
40;528;90,4
41;547;90,7
41;553;90,6
41;565;89,9
42;572;91,1
42;578;91
42;591;90,9
42;603;91,4
42;616;89,7
43;622;91,3
43;635;89,8
43;641;90
43;653;89,9
43;666;89,8
43;666;90,1
43;672;90,1
43;679;89,5
43;691;89,1
43;697;89,9
42;710;89,3
43;716;88,5
42;723;88,7
43;729;89,6
43;729;89,1
43;716;88,5
42;710;89,4
43;697;88,4
43;697;89,7
43;697;89,7
42;697;88,3
43;704;90
42;710;88,4
43;710;89,9
42;710;88,9
43;704;88,4
43;710;90,1
42;710;88,5
43;704;89
43;704;90,3
42;704;88,4
42;697;89,2
41;704;89,2
40;704;86,8
39;704;87,8
38;704;88,2
36;704;85,6
28;685;80,2
27;679;82,2
27;660;81,5
27;641;81,7
27;628;82,1
27;616;83,1
25;603;79,8
25;597;78,1
24;578;79
24;559;81,4
23;553;80
22;540;79,9
21;528;79,9
20;522;76,5
19;503;77,8
19;490;77,4
18;478;76,9
18;471;79,5
18;459;78,2
18;440;79,4
17;434;78,8
15;427;77,3
14;415;78,5
